abs time (s)	Fx	Fy	Fz	|Ft|	Fx12	Fx34	Fy14	Fy23	Fz1	Fz2	Fz3	Fz4	Mx	My	Mz	Tz	Ax	Ay
	N	N	N	N	N	N	N	N	N	N	N	N	N m	N m	N m	N m	m	m
0.190000	1.569139	-1.024317	745.301265	745.303621	-3.070829	4.639968	-6.758965	5.734648	304.691589	-5.877400	327.063507	119.423569	-29.488484	-12.280875	0.042926	-0.002280	0.016478	-0.039566
0.200000	1.391639	-0.944577	745.298004	745.299902	-3.199398	4.591038	-6.711080	5.766502	304.850861	-6.037766	327.218323	119.266586	-29.491858	-12.289804	0.060777	0.021285	0.016490	-0.039571
0.210000	1.327594	-1.008425	745.281742	745.283607	-3.279754	4.607348	-6.774927	5.766502	304.850861	-6.198132	328.147339	118.481674	-29.549879	-12.106258	0.072449	0.036192	0.016244	-0.039649
0.220000	1.264264	-1.072272	745.742859	745.744701	-3.408324	4.672588	-6.838775	5.766502	304.532288	-6.037766	328.766663	118.481674	-29.702512	-11.977316	0.103549	0.070416	0.016061	-0.039829
0.230000	1.217483	-1.231751	745.427647	745.429659	-3.552964	4.770448	-6.934546	5.702795	304.532288	-6.198132	328.611816	118.481674	-29.696440	-12.017247	0.148202	0.119557	0.016121	-0.039838
0.240000	1.040223	-1.359517	746.352527	746.354490	-3.697605	4.737828	-7.094165	5.734648	304.373016	-5.877400	330.160156	117.696754	-29.811082	-11.687632	0.147629	0.127370	0.015660	-0.039942
0.250000	1.057726	-1.566882	746.657886	746.660279	-3.777961	4.835688	-7.237823	5.670940	304.373016	-5.877400	330.779480	117.382790	-29.862822	-11.574850	0.173678	0.155664	0.015502	-0.039995
0.260000	0.946661	-1.774317	746.327347	746.330056	-3.986887	4.933547	-7.413404	5.639087	304.054474	-6.037766	331.398804	116.911835	-29.978943	-11.430033	0.217788	0.206936	0.015315	-0.040169
0.270000	0.818091	-1.758495	746.943492	746.946010	-4.115456	4.933547	-7.461289	5.702795	303.895203	-5.877400	332.327820	116.597870	-30.102447	-11.248305	0.230111	0.223622	0.015059	-0.040301
0.280000	0.576068	-1.758669	748.033763	748.036053	-4.292239	4.868308	-7.541099	5.782429	303.895203	-5.877400	332.947144	117.068817	-30.320493	-11.241391	0.233286	0.236365	0.015028	-0.040534
0.290000	0.673928	-1.854476	747.700290	747.702894	-4.292239	4.966167	-7.652832	5.798356	303.735901	-5.877400	334.185822	115.655968	-30.313208	-10.899687	0.237539	0.237250	0.014578	-0.040542
0.300000	0.545120	-1.950318	745.675673	745.678422	-4.404737	4.949857	-7.780528	5.830210	303.258087	-5.396303	333.256805	114.557083	-29.902658	-10.770030	0.237630	0.243939	0.014443	-0.040101
0.310000	0.433338	-1.950528	745.184623	745.187302	-4.565449	4.998787	-7.876299	5.925771	302.780243	-5.717034	333.721313	114.400101	-30.123869	-10.681628	0.256599	0.267041	0.014334	-0.040425
0.320000	0.369292	-1.918953	745.331957	745.334519	-4.645805	5.015097	-8.003994	6.085041	302.620972	-5.556669	334.495483	113.772171	-30.154319	-10.477902	0.241496	0.253532	0.014058	-0.040458
0.330000	0.385124	-1.695837	745.021368	745.023398	-4.613663	4.998787	-7.940146	6.244310	302.620972	-5.396303	334.495483	113.301216	-30.038095	-10.401431	0.220355	0.228504	0.013961	-0.040318
0.340000	0.335955	-1.584383	744.226298	744.228060	-4.597592	4.933547	-7.956109	6.371725	302.302399	-5.556669	334.650299	112.830269	-30.075672	-10.309567	0.186888	0.195259	0.013853	-0.040412
0.350000	0.271194	-1.632339	742.830046	742.831889	-4.629734	4.900928	-8.035918	6.403579	302.620972	-5.396303	334.030975	111.574402	-29.602688	-10.255081	0.173393	0.185120	0.013805	-0.039851
0.360000	0.173811	-1.616621	744.056429	744.058206	-4.661877	4.835688	-8.131689	6.515068	302.302399	-5.556669	335.579315	111.731384	-30.040247	-10.073515	0.141902	0.156772	0.013539	-0.040374
0.370000	0.092978	-1.696606	743.435106	743.437048	-4.710090	4.803068	-8.291308	6.594702	302.143127	-5.235938	335.424469	111.103447	-29.847799	-9.962782	0.116310	0.135314	0.013401	-0.040148
0.380000	-0.020237	-1.792378	743.416555	743.418716	-4.774375	4.754138	-8.387080	6.594702	301.983856	-5.396303	336.353485	110.475517	-29.967634	-9.781174	0.107889	0.132287	0.013157	-0.040311
0.390000	-0.150001	-1.824477	743.560752	743.563005	-4.822588	4.672588	-8.498814	6.674337	302.461700	-5.717034	337.282471	109.533615	-29.932184	-9.658336	0.078257	0.107994	0.012989	-0.040255
0.400000	-0.199647	-1.665173	742.473864	742.475758	-4.774375	4.574728	-8.482852	6.817679	302.461700	-5.556669	336.663147	108.905685	-29.657829	-9.640293	0.033757	0.063352	0.012984	-0.039945
0.410000	-0.200602	-1.633423	743.719423	743.721244	-4.710090	4.509488	-8.530737	6.897314	302.620972	-5.235938	338.056641	108.277748	-29.716368	-9.378390	-0.007450	0.021163	0.012610	-0.039956
0.420000	-0.199647	-1.617706	744.656869	744.658653	-4.774375	4.574728	-8.626509	7.008802	302.461700	-5.235938	338.211456	109.219650	-29.968273	-9.453684	-0.006417	0.022155	0.012695	-0.040244
0.430000	-0.183098	-1.490222	744.183278	744.184793	-4.790446	4.607348	-8.594585	7.104364	302.939514	-5.075572	339.140472	107.178864	-29.624020	-9.134657	-0.004315	0.021266	0.012275	-0.039807
0.440000	0.075474	-1.458472	743.539179	743.540614	-4.629734	4.705208	-8.642470	7.183999	303.417358	-5.556669	340.069458	105.609032	-29.497930	-8.938236	-0.032188	-0.017650	0.012021	-0.039672
0.450000	0.140236	-1.522355	745.431111	745.432679	-4.597592	4.737828	-8.722281	7.199925	303.576630	-5.075572	340.379120	106.550934	-29.617295	-8.972572	-0.043581	-0.030828	0.012037	-0.039732
0.460000	0.189643	-1.506603	745.730996	745.732542	-4.629734	4.819377	-8.802090	7.295487	303.258087	-4.915206	341.308136	106.079979	-29.741251	-8.744883	-0.041887	-0.031783	0.011727	-0.039882
