abs time (s)	Fx	Fy	Fz	|Ft|	Fx12	Fx34	Fy14	Fy23	Fz1	Fz2	Fz3	Fz4	Mx	My	Mz	Tz	Ax	Ay
	N	N	N	N	N	N	N	N	N	N	N	N	N m	N m	N m	N m	m	m
3.150000	0.879676	-3.995612	744.159381	744.170628	-4.967229	5.846905	-10.813291	6.817679	299.594696	-4.434110	349.669098	99.329697	-30.587841	-6.403143	0.047110	0.045333	0.008605	-0.041104
3.160000	0.926935	-3.963653	744.317725	744.328855	-4.854731	5.781665	-10.765405	6.801752	299.753967	-4.273744	349.978760	98.858742	-30.493093	-6.307211	0.019220	0.014833	0.008474	-0.040968
3.170000	1.022884	-3.867917	744.641376	744.652124	-4.726161	5.749045	-10.685596	6.817679	299.913239	-4.434110	349.204620	99.957626	-30.562569	-6.566013	-0.005352	-0.013228	0.008818	-0.041043
3.180000	1.054788	-3.804069	744.474266	744.484732	-4.677948	5.732736	-10.621748	6.817679	299.594696	-4.594475	349.359436	100.114609	-30.723583	-6.545856	-0.010595	-0.020677	0.008793	-0.041269
3.190000	0.989787	-3.788106	745.117842	745.128129	-4.694019	5.683805	-10.605785	6.817679	299.913239	-4.273744	349.049774	100.428574	-30.597307	-6.623354	-0.015251	-0.022223	0.008889	-0.041064
3.200000	1.118118	-3.596843	743.720098	743.729636	-4.549378	5.667496	-10.541938	6.945095	299.594696	-3.953013	348.120789	99.957626	-30.325490	-6.595831	-0.055069	-0.068762	0.008869	-0.040775
3.210000	1.166092	-3.373621	744.330816	744.339375	-4.485094	5.651186	-10.430204	7.056583	299.594696	-3.953013	349.359436	99.329697	-30.457678	-6.369682	-0.071159	-0.090004	0.008558	-0.040920
3.220000	1.118118	-3.325806	745.107600	745.115862	-4.549378	5.667496	-10.414243	7.088437	299.435425	-4.434110	349.049774	101.056511	-30.871334	-6.654838	-0.056947	-0.073569	0.008931	-0.041432
3.230000	1.182641	-3.421543	745.579916	745.588705	-4.501164	5.683805	-10.494053	7.072510	299.594696	-4.273744	349.359436	100.899529	-30.833635	-6.595805	-0.070994	-0.089633	0.008847	-0.041355
3.240000	1.231332	-3.612875	746.035094	746.044858	-4.485094	5.716425	-10.589824	6.976948	298.798309	-4.273744	349.669098	101.841431	-31.234615	-6.573917	-0.067709	-0.087426	0.008812	-0.041867
3.250000	1.264907	-3.836062	745.098689	745.109637	-4.549378	5.814285	-10.685596	6.849533	299.116852	-4.434110	349.359436	101.056511	-30.974020	-6.572844	-0.031483	-0.050226	0.008821	-0.041570
3.260000	1.201100	-4.075316	745.720202	745.732305	-4.645805	5.846905	-10.845215	6.769898	298.798309	-4.113378	349.978760	101.056511	-31.086680	-6.424683	-0.015271	-0.030231	0.008615	-0.041687
3.270000	1.136577	-4.298468	744.775722	744.788993	-4.694019	5.830595	-10.925024	6.626556	298.639038	-4.434110	349.514282	101.056511	-31.079743	-6.502700	-0.001267	-0.011166	0.008731	-0.041730
3.280000	1.233720	-4.410131	744.763580	744.777659	-4.645805	5.879525	-11.004833	6.594702	298.479767	-4.594475	349.978760	100.899529	-31.200145	-6.423884	-0.006878	-0.020523	0.008625	-0.041893
3.290000	1.007768	-4.410202	745.380295	745.394023	-4.806517	5.814285	-11.036757	6.626556	298.320465	-4.915206	350.133606	101.841431	-31.515498	-6.547870	0.004563	0.000695	0.008785	-0.042281
3.300000	1.073008	-4.410272	744.290641	744.304481	-4.806517	5.879525	-11.068682	6.658410	298.639038	-4.594475	350.288452	99.957626	-31.041842	-6.300037	0.009957	0.002537	0.008464	-0.041707
3.310000	1.024556	-4.458087	745.846812	745.860839	-4.838659	5.863215	-11.084643	6.626556	298.479767	-4.113378	351.836761	99.643661	-31.222194	-6.001901	0.015031	0.008016	0.008047	-0.041861
3.320000	0.896225	-4.394345	744.284491	744.298003	-4.983300	5.879525	-11.068682	6.674337	298.639038	-4.273744	351.217438	98.701759	-30.913037	-6.007323	0.043403	0.041647	0.008071	-0.041534
3.330000	0.702893	-4.250932	744.289236	744.301707	-5.144012	5.846905	-11.036757	6.785825	298.798309	-3.953013	351.527100	97.916840	-30.728438	-5.865298	0.059474	0.063953	0.007880	-0.041286
3.340000	0.573846	-4.123446	745.090253	745.101884	-5.240439	5.814285	-11.004833	6.881387	299.594696	-3.632281	351.681946	97.445892	-30.447531	-5.853088	0.064599	0.073541	0.007856	-0.040864
3.350000	0.493012	-4.043777	744.131884	744.143035	-5.288653	5.781665	-10.988872	6.945095	299.753967	-4.113378	352.301270	96.190025	-30.388173	-5.708547	0.061988	0.072876	0.007671	-0.040837
3.360000	0.251467	-3.964108	744.938740	744.949329	-5.497578	5.749045	-10.972910	7.008802	300.550354	-3.311550	352.765778	94.934158	-29.913843	-5.512318	0.091519	0.110754	0.007400	-0.040156
3.370000	-0.071628	-3.996031	743.068127	743.078875	-5.706503	5.634876	-11.004833	7.008802	300.868927	-3.311550	352.146423	93.364326	-29.410855	-5.451029	0.106640	0.138789	0.007336	-0.039580
3.380000	-0.119602	-3.932394	744.795985	744.806376	-5.770788	5.651186	-11.036757	7.104364	301.665314	-2.990819	353.385101	92.736389	-29.312443	-5.286273	0.107460	0.140078	0.007098	-0.039356
3.390000	-0.330438	-3.709207	744.323291	744.332606	-5.851144	5.520706	-10.940986	7.231779	302.143127	-2.990819	354.004425	91.166557	-29.036822	-5.090399	0.093638	0.131896	0.006839	-0.039011
3.400000	-0.410794	-3.294757	744.498804	744.506208	-5.931500	5.520706	-10.781367	7.486610	303.258087	-2.670088	354.314087	89.596718	-28.516298	-4.963783	0.098284	0.135986	0.006667	-0.038303
3.410000	-0.443414	-2.673082	744.663256	744.668186	-5.931500	5.488086	-10.541938	7.868856	304.373016	-2.670088	354.933441	88.026886	-28.131192	-4.836340	0.074622	0.108734	0.006495	-0.037777
3.420000	-0.428776	-2.051268	744.673050	744.675999	-5.819002	5.390226	-10.238662	8.187394	305.010132	-2.028625	355.862427	85.829117	-27.649702	-4.459949	0.030719	0.058925	0.005989	-0.037130
3.430000	-0.348420	-1.429592	744.983284	744.984737	-5.738646	5.390226	-9.999233	8.569641	305.647247	-2.028625	356.791412	84.573250	-27.484878	-4.270604	-0.002490	0.018559	0.005732	-0.036893
3.440000	-0.511042	-0.823810	743.919853	743.920484	-5.770788	5.259747	-9.743843	8.920033	306.443634	-1.707894	355.552765	83.631348	-26.852604	-4.370610	-0.033558	-0.010272	0.005875	-0.036096
3.450000	-0.641044	-0.345653	743.302992	743.303349	-5.802931	5.161887	-9.584224	9.238571	306.443634	-1.387163	355.243103	83.003418	-26.622457	-4.299781	-0.065772	-0.040812	0.005785	-0.035816
3.460000	-0.641521	0.021052	742.232019	742.232296	-5.770788	5.129267	-9.408643	9.429695	307.080750	-0.906066	354.623749	81.433586	-25.977479	-4.204467	-0.080590	-0.058256	0.005665	-0.034999
3.470000	-0.884977	0.244239	741.112090	741.112658	-5.851144	4.966167	-9.312871	9.557110	306.921448	-1.387163	355.243103	80.334702	-26.019696	-4.047849	-0.100935	-0.071199	0.005462	-0.035109
3.480000	-0.964617	0.308017	742.534459	742.535149	-5.979714	5.015097	-9.280947	9.588964	307.240021	-0.745700	355.862427	80.177711	-25.923026	-3.919529	-0.065427	-0.033377	0.005279	-0.034912
3.490000	-1.093903	0.403579	741.143529	741.144446	-6.060070	4.966167	-9.280947	9.684525	307.717834	-0.745700	354.778595	79.392799	-25.458014	-4.018554	-0.070609	-0.035222	0.005422	-0.034350
3.500000	-1.078309	0.499141	742.381432	742.382383	-6.011856	4.933547	-9.280947	9.780087	307.877136	-0.585335	356.481750	78.607880	-25.582028	-3.719156	-0.098243	-0.063586	0.005010	-0.034459
3.510000	-1.190330	0.626696	742.542195	742.543414	-6.156497	4.966167	-9.217099	9.843795	308.673523	-0.745700	356.791412	77.822960	-25.365512	-3.707658	-0.062774	-0.025242	0.004993	-0.034160
3.520000	-1.287235	0.594771	743.003473	743.004826	-6.220782	4.933547	-9.249023	9.843795	308.832794	-0.906066	357.410767	77.665977	-25.456769	-3.657214	-0.060272	-0.019097	0.004922	-0.034262
3.530000	-1.270208	0.562848	742.835595	742.836895	-6.268995	4.998787	-9.280947	9.843795	308.673523	-0.906066	358.030090	77.038048	-25.485466	-3.487665	-0.041413	-0.000476	0.004695	-0.034308
3.540000	-1.301873	0.658514	744.089593	744.091023	-6.333280	5.031407	-9.233062	9.891576	308.992065	-0.906066	358.494598	77.508995	-25.613153	-3.528088	-0.022019	0.019672	0.004741	-0.034422
3.550000	-1.316989	0.530889	744.700363	744.701717	-6.413636	5.096647	-9.328833	9.859721	308.673523	-0.585335	359.888092	76.724083	-25.728689	-3.190646	-0.000570	0.042656	0.004284	-0.034549
3.560000	-1.429010	0.387231	745.171311	745.172781	-6.558277	5.129267	-9.472490	9.859721	308.673523	-0.585335	359.888092	77.195030	-25.816413	-3.252201	0.017643	0.065461	0.004364	-0.034645
3.570000	-1.557580	0.259642	744.860729	744.862403	-6.686846	5.129267	-9.552299	9.811941	308.673523	-0.424969	359.888092	76.724083	-25.684409	-3.182229	0.039514	0.092113	0.004272	-0.034482
3.580000	-1.605793	0.084270	744.223614	744.225351	-6.735060	5.129267	-9.632110	9.716379	308.036407	-0.424969	359.888092	76.724083	-25.803941	-3.107945	0.051047	0.106371	0.004176	-0.034672
3.590000	-1.783531	-0.170946	743.746067	743.748225	-6.847558	5.064027	-9.807691	9.636744	307.877136	-0.424969	360.197754	76.096146	-25.760655	-2.984319	0.048985	0.111446	0.004013	-0.034636
3.600000	-1.847577	-0.202904	744.217014	744.219335	-6.927914	5.080337	-9.855576	9.652672	307.877136	-0.424969	360.197754	76.567093	-25.853406	-3.043714	0.060660	0.125673	0.004090	-0.034739
3.610000	-1.880436	-0.234863	743.449428	743.451843	-6.911843	5.031407	-9.903461	9.668598	307.717834	-0.104238	359.268738	76.567093	-25.633879	-3.099071	0.040003	0.105819	0.004169	-0.034480
3.620000	-1.944721	-0.378521	744.358379	744.361016	-6.976128	5.031407	-10.047119	9.668598	307.240021	-0.424969	360.662262	76.881065	-26.128623	-2.953568	0.035621	0.105387	0.003968	-0.035102
3.630000	-1.977101	-0.378555	743.259342	743.262068	-6.992198	5.015097	-10.063081	9.684525	307.080750	-0.424969	360.507416	76.096146	-25.972522	-2.860303	0.031746	0.102291	0.003848	-0.034944
3.640000	-1.976863	-0.410549	743.245831	743.248574	-7.008270	5.031407	-10.126928	9.716379	306.762177	-0.745700	360.662262	76.567093	-26.224102	-2.898484	0.026738	0.098090	0.003900	-0.035283
3.650000	-1.944959	-0.394727	742.303959	742.306612	-6.960056	5.015097	-10.174814	9.780087	306.443634	-0.424969	360.817078	75.468216	-26.035564	-2.669892	0.000442	0.070080	0.003597	-0.035074
3.660000	-1.993173	-0.458574	743.392861	743.395674	-7.008270	5.015097	-10.238662	9.780087	306.284363	-0.585335	361.126740	76.567093	-26.378326	-2.766899	0.002423	0.074855	0.003722	-0.035484
3.670000	-2.025315	-0.522492	744.152455	744.155395	-7.040412	5.015097	-10.334434	9.811941	305.806519	-0.745700	362.210571	76.881065	-26.782653	-2.637865	-0.006463	0.068282	0.003545	-0.035991
3.680000	-2.026031	-0.554486	744.013770	744.016736	-6.992198	4.966167	-10.398281	9.843795	305.328674	-0.264603	361.126740	77.822960	-26.752175	-2.765911	-0.037376	0.037534	0.003718	-0.035957
3.690000	-2.075200	-0.586480	743.688919	743.692046	-6.976128	4.900928	-10.462129	9.875648	305.487976	-0.585335	361.591248	77.195030	-26.750337	-2.694635	-0.065122	0.011647	0.003623	-0.035970
3.700000	-2.026509	-0.618474	744.467262	744.470277	-6.960056	4.933547	-10.525976	9.907502	305.010132	-0.264603	362.055756	77.665977	-26.967411	-2.597388	-0.073297	0.002269	0.003489	-0.036224
3.710000	-2.075200	-0.650398	743.043176	743.046358	-6.976128	4.900928	-10.557900	9.907502	305.169403	-0.906066	362.055756	76.724083	-26.874034	-2.582640	-0.080437	-0.003122	0.003476	-0.036168
3.720000	-2.027464	-0.762132	744.135330	744.138483	-6.895772	4.868308	-10.669634	9.907502	304.532288	-0.585335	362.365417	77.822960	-27.213990	-2.560256	-0.116441	-0.039671	0.003441	-0.036571
3.730000	-2.108297	-0.857903	743.517232	743.520716	-6.943985	4.835688	-10.765405	9.907502	304.850861	-0.745700	361.746094	77.665977	-27.022778	-2.676847	-0.124814	-0.045101	0.003600	-0.036345
3.740000	-2.156511	-0.810157	745.224240	745.227801	-6.992198	4.835688	-10.781367	9.971210	304.373016	-0.745700	362.675079	78.921844	-27.557466	-2.660901	-0.124732	-0.042094	0.003571	-0.036979
3.750000	-2.140201	-0.953744	744.109883	744.113572	-6.992198	4.851997	-10.893100	9.939356	303.895203	-0.745700	363.294403	77.665977	-27.519258	-2.377806	-0.131056	-0.048857	0.003196	-0.036983
3.760000	-2.059368	-1.001630	744.419545	744.423067	-6.943985	4.884617	-10.940986	9.939356	303.895203	-0.745700	363.604065	77.665977	-27.579036	-2.337009	-0.139921	-0.060481	0.003139	-0.037048
3.770000	-2.236867	-1.049621	742.843896	742.848005	-7.072555	4.835688	-11.036757	9.987137	303.576630	-0.906066	363.449249	76.724083	-27.453322	-2.231563	-0.141219	-0.055398	0.003004	-0.036957
3.780000	-2.268532	-1.113363	743.481548	743.485843	-7.136839	4.868308	-11.052719	9.939356	303.098816	-0.424969	362.984741	77.822960	-27.576671	-2.305524	-0.118020	-0.030424	0.003101	-0.037091
3.790000	-2.333294	-1.256950	743.616269	743.620992	-7.168982	4.835688	-11.164453	9.907502	302.620972	-0.745700	363.604065	78.136932	-27.916584	-2.252943	-0.127701	-0.036297	0.003030	-0.037542
3.800000	-2.316507	-1.272983	744.083535	744.088230	-7.201124	4.884617	-11.212338	9.939356	302.302399	-0.906066	363.294403	79.392799	-28.200891	-2.421066	-0.121055	-0.029117	0.003254	-0.037900
3.810000	-2.251028	-1.384576	743.150414	743.155113	-7.217195	4.966167	-11.260224	9.875648	302.143127	-0.585335	362.984741	78.607880	-27.944661	-2.303488	-0.099632	-0.010695	0.003100	-0.037603
3.820000	-2.234957	-1.448283	743.609105	743.613874	-7.201124	4.966167	-11.260224	9.811941	301.824585	-0.745700	363.294403	79.235817	-28.225096	-2.321977	-0.095202	-0.005847	0.003123	-0.037957
3.830000	-2.138052	-1.480103	743.141533	743.146083	-7.136839	4.998787	-11.244263	9.764160	301.824585	-0.585335	363.294403	78.607880	-28.066003	-2.223020	-0.093885	-0.008711	0.002991	-0.037767
3.840000	-2.202098	-1.543775	744.537785	744.542642	-7.217195	5.015097	-11.228300	9.684525	301.506012	-0.745700	363.913727	79.863747	-28.533964	-2.283302	-0.063081	0.026048	0.003067	-0.038324
3.850000	-2.088406	-1.527779	744.537627	744.542123	-7.185053	5.096647	-11.196377	9.668598	301.983856	-1.387163	363.449249	80.491684	-28.600099	-2.543593	-0.047457	0.037985	0.003416	-0.038413
3.860000	-2.121026	-1.448004	745.643125	745.647548	-7.185053	5.064027	-11.132529	9.684525	301.824585	-1.066431	363.294403	81.590569	-28.760205	-2.637908	-0.048231	0.038702	0.003538	-0.038571
3.870000	-2.186504	-1.336305	744.847114	744.851522	-7.168982	4.982477	-11.036757	9.700453	302.143127	-1.707894	363.449249	80.962631	-28.735197	-2.662121	-0.058173	0.030955	0.003574	-0.038579
3.880000	-2.137814	-1.240569	745.951671	745.955766	-7.152911	5.015097	-10.956948	9.716379	302.302399	-1.547528	363.449249	81.747551	-28.832562	-2.753989	-0.047198	0.040013	0.003692	-0.038652
3.890000	-2.089600	-1.144762	745.950896	745.954701	-7.104697	5.015097	-10.845215	9.700453	302.461700	-1.387163	363.913727	80.962631	-28.708851	-2.601764	-0.041521	0.042892	0.003488	-0.038486
3.900000	-2.009005	-0.857622	744.400000	744.403205	-7.040412	5.031407	-10.637710	9.780087	301.983856	-1.387163	362.055756	81.747551	-28.602731	-2.857943	-0.035772	0.044715	0.003839	-0.038424
3.910000	-1.943526	-0.777883	744.079269	744.082214	-7.056483	5.112957	-10.589824	9.811941	301.983856	-1.707894	362.055756	81.747551	-28.670465	-2.893484	-0.014324	0.063588	0.003889	-0.038531
3.920000	-1.975908	-0.602407	744.251593	744.254460	-7.072555	5.096647	-10.462129	9.859721	301.983856	-1.387163	361.436401	82.218498	-28.584534	-2.987290	-0.004782	0.073525	0.004014	-0.038407
3.930000	-1.765788	-0.363153	743.778183	743.780367	-6.943985	5.178197	-10.302509	9.939356	301.983856	-1.707894	361.126740	82.375481	-28.628911	-3.072320	-0.004587	0.064880	0.004131	-0.038491
3.940000	-1.750433	-0.315232	742.836955	742.839084	-6.879700	5.129267	-10.238662	9.923429	301.346741	-1.547528	360.662262	82.375481	-28.633522	-3.031668	-0.017658	0.051101	0.004081	-0.038546
3.950000	-1.702220	-0.171679	741.592163	741.594137	-6.831487	5.129267	-10.142890	9.971210	301.028198	-2.028625	358.804260	83.788330	-28.710879	-3.441507	-0.021541	0.045157	0.004641	-0.038715
3.960000	-1.541508	-0.044055	743.153542	743.155142	-6.670775	5.129267	-10.047119	10.003064	301.187469	-2.028625	359.578430	84.416267	-28.965190	-3.435840	-0.046014	0.014272	0.004623	-0.038976
3.970000	-1.575561	-0.028058	743.931412	743.933081	-6.574347	4.998787	-10.015195	9.987137	300.550354	-2.028625	359.423584	85.986099	-29.376330	-3.567880	-0.085653	-0.023303	0.004796	-0.039488
3.980000	-1.607942	-0.075839	742.670822	742.672567	-6.590419	4.982477	-10.015195	9.939356	300.072540	-2.028625	359.268738	85.358170	-29.313187	-3.455229	-0.079967	-0.016149	0.004652	-0.039470
3.990000	-1.688298	-0.219357	743.131628	743.133578	-6.670775	4.982477	-10.095005	9.875648	300.072540	-2.509722	359.268738	86.300072	-29.591329	-3.629605	-0.065828	0.002471	0.004884	-0.039820
4.000000	-1.640800	-0.251210	743.119059	743.120913	-6.574347	4.933547	-10.095005	9.843795	299.435425	-2.670088	359.268738	87.084984	-29.906374	-3.664447	-0.091077	-0.023805	0.004931	-0.040244
4.010000	-1.576277	-0.442473	744.830706	744.832505	-6.526134	4.949857	-10.158853	9.716379	299.276154	-2.670088	360.197754	88.026886	-30.303805	-3.643977	-0.089830	-0.023533	0.004892	-0.040685
4.020000	-1.445797	-0.617844	744.833045	744.834704	-6.526134	5.080337	-10.238662	9.620818	298.479767	-2.830453	358.959076	90.224655	-30.679082	-3.974157	-0.061843	0.001004	0.005336	-0.041189
4.030000	-1.347699	-0.872885	744.201296	744.203028	-6.542205	5.194507	-10.334434	9.461549	297.683350	-2.670088	358.649414	90.538620	-30.795676	-3.929764	-0.028175	0.032203	0.005281	-0.041381
4.040000	-1.137341	-1.335151	744.812217	744.814282	-6.429707	5.292367	-10.510015	9.174864	297.205536	-3.151185	358.649414	92.108452	-31.280623	-4.109072	-0.017771	0.037361	0.005517	-0.041998
4.050000	-1.007339	-1.653898	744.011086	744.013606	-6.397565	5.390226	-10.605785	8.951887	296.249878	-3.471916	358.339752	92.893372	-31.616608	-4.158380	0.010638	0.062688	0.005589	-0.042495
4.060000	-0.957692	-2.116235	744.949033	744.952654	-6.445778	5.488086	-10.813291	8.697056	295.612762	-3.632281	357.720428	95.248123	-32.102385	-4.455825	0.045531	0.099460	0.005981	-0.043093
4.070000	-0.697927	-2.706020	743.833631	743.838881	-6.365422	5.667496	-11.036757	8.330737	294.338531	-3.953013	357.101105	96.347008	-32.490749	-4.535901	0.082484	0.129471	0.006098	-0.043680
4.080000	-0.503401	-3.232064	745.230536	745.237715	-6.285066	5.781665	-11.244263	8.012198	293.701416	-4.273744	357.101105	98.701759	-33.129597	-4.771751	0.102571	0.145645	0.006403	-0.044456
4.090000	-0.469348	-3.789961	744.740753	744.750544	-6.381494	5.912145	-11.451767	7.661806	292.267914	-4.594475	356.481750	100.585564	-33.708228	-4.937065	0.165099	0.211467	0.006629	-0.045262
4.100000	-0.387560	-4.268153	743.783406	743.795753	-6.397565	6.010005	-11.627348	7.359195	291.152985	-5.075572	355.707581	101.998413	-34.133651	-5.119767	0.203129	0.250294	0.006883	-0.045892
4.110000	-0.241964	-4.666711	744.269328	744.283998	-6.317209	6.075245	-11.802929	7.136218	290.356598	-4.434110	354.778595	103.568245	-34.274870	-5.240532	0.205793	0.249795	0.007041	-0.046052
4.120000	-0.128988	-4.841978	743.938172	743.953940	-6.236853	6.107865	-11.834853	6.992875	289.719482	-4.915206	354.623749	104.510147	-34.648037	-5.348335	0.209616	0.250434	0.007189	-0.046574
4.130000	-0.129943	-4.778235	744.872910	744.888247	-6.172568	6.042625	-11.818892	7.040656	288.923096	-4.915206	354.314087	106.550934	-35.156407	-5.534866	0.179893	0.221531	0.007431	-0.047198
4.140000	-0.082685	-4.794127	743.166097	743.181564	-6.060070	5.977385	-11.802929	7.008802	288.604553	-5.075572	352.301270	107.335846	-35.005893	-5.849485	0.150083	0.191713	0.007871	-0.047104
4.150000	0.077311	-4.810054	744.414299	744.429843	-5.851144	5.928455	-11.802929	6.992875	288.285980	-4.915206	352.765778	108.277748	-35.318100	-5.842100	0.100423	0.134504	0.007848	-0.047444
4.160000	0.173499	-4.762203	744.404058	744.419310	-5.738646	5.912145	-11.771006	7.008802	287.808167	-5.075572	352.765778	108.905685	-35.573476	-5.875030	0.076581	0.105875	0.007892	-0.047788
4.170000	0.188615	-4.698356	745.661908	745.676734	-5.658290	5.846905	-11.707158	7.008802	287.648865	-5.075572	352.456116	110.632500	-35.891640	-6.099611	0.055124	0.084478	0.008180	-0.048134
4.180000	0.316229	-4.570801	745.678033	745.692109	-5.465436	5.781665	-11.643311	7.072510	287.808167	-5.235938	351.217438	111.888367	-35.901031	-6.431574	0.003522	0.027721	0.008625	-0.048145
4.190000	0.524677	-4.650259	747.074938	747.089595	-5.224368	5.749045	-11.563500	6.913241	287.171051	-5.556669	351.217438	114.243118	-36.559975	-6.666798	-0.022526	-0.006704	0.008924	-0.048937
4.200000	0.669557	-4.666152	747.382464	747.397330	-5.095798	5.765356	-11.547539	6.881387	287.171051	-5.556669	351.681946	114.086136	-36.620765	-6.585699	-0.039240	-0.030931	0.008812	-0.048999
4.210000	0.798843	-4.793637	745.978393	745.994222	-5.015442	5.814285	-11.579462	6.785825	286.374664	-5.717034	349.978760	115.342003	-36.716915	-6.858645	-0.037889	-0.033134	0.009194	-0.049220
4.220000	1.056459	-4.873237	745.821105	745.837774	-4.790446	5.846905	-11.563500	6.690264	286.056091	-5.717034	349.669098	115.812950	-36.809304	-6.902497	-0.062981	-0.070021	0.009255	-0.049354
4.230000	1.379077	-4.984760	745.975365	745.993294	-4.549378	5.928455	-11.579462	6.594702	285.737549	-6.037766	349.049774	117.225807	-37.090847	-7.132104	-0.085333	-0.106244	0.009561	-0.049721
4.240000	1.427052	-4.968798	746.453998	746.471899	-4.485094	5.912145	-11.563500	6.594702	285.737549	-5.877400	348.740112	117.853737	-37.123146	-7.223212	-0.099537	-0.122426	0.009677	-0.049733
4.250000	1.620384	-4.952697	745.831988	745.850192	-4.324381	5.944765	-11.483691	6.530994	284.781891	-5.556669	347.811127	118.795639	-37.253439	-7.285852	-0.107933	-0.140488	0.009769	-0.049949
4.260000	1.814671	-5.175848	744.749851	744.770047	-4.227954	6.042625	-11.563500	6.387652	284.622620	-5.877400	345.953125	120.051506	-37.218971	-7.670148	-0.100022	-0.137405	0.010299	-0.049975
4.270000	1.912053	-5.303229	745.200870	745.222193	-4.195812	6.107865	-11.547539	6.244310	283.985504	-5.877400	346.727295	120.365471	-37.558289	-7.534088	-0.074286	-0.117038	0.010110	-0.050400
4.280000	1.896459	-5.478460	745.686870	745.709406	-4.244026	6.140485	-11.563500	6.085041	283.985504	-5.877400	345.643463	121.935303	-37.647603	-7.853229	-0.040923	-0.078973	0.010532	-0.050487
4.290000	2.025506	-5.589948	745.678734	745.702437	-4.147598	6.173105	-11.563500	5.973552	283.507660	-6.037766	345.488617	122.720222	-37.896243	-7.922096	-0.040306	-0.083857	0.010624	-0.050821
4.300000	2.138960	-5.796998	746.469971	746.495544	-4.099385	6.238345	-11.563500	5.766502	283.348389	-6.037766	344.869293	124.290054	-38.108882	-8.160577	-0.012054	-0.057879	0.010932	-0.051052
4.310000	2.252413	-5.972229	744.117841	744.145216	-4.051171	6.303585	-11.579462	5.607233	283.189117	-6.518863	343.785461	123.662125	-37.886718	-8.248799	0.008548	-0.039930	0.011085	-0.050915
4.320000	2.269440	-6.179455	745.991982	746.021027	-4.099385	6.368824	-11.659272	5.479817	282.711273	-6.037766	344.714447	124.604027	-38.250920	-8.134510	0.036951	-0.012032	0.010904	-0.051275
4.330000	2.285511	-6.354756	745.039929	745.070535	-4.083313	6.368824	-11.707158	5.352402	282.711273	-6.518863	344.714447	124.133072	-38.245059	-8.135004	0.043280	-0.004655	0.010919	-0.051333
4.340000	2.285749	-6.290908	745.985345	746.015372	-4.099385	6.385134	-11.643311	5.352402	283.189117	-6.679228	344.714447	124.761009	-38.310024	-8.286931	0.057418	0.009918	0.011109	-0.051355
4.350000	2.204916	-6.290908	745.841591	745.871380	-4.147598	6.352514	-11.643311	5.352402	282.870544	-6.037766	344.404785	124.604027	-38.152118	-8.193685	0.060537	0.016859	0.010986	-0.051153
4.360000	2.269440	-6.243057	745.681355	745.710943	-4.099385	6.368824	-11.611386	5.368329	283.348389	-6.518863	344.404785	124.447044	-38.123525	-8.287017	0.056076	0.009430	0.011113	-0.051126
4.370000	2.317653	-6.195206	746.764138	746.793432	-4.051171	6.368824	-11.579462	5.384256	283.189117	-6.358497	345.643463	124.290054	-38.341797	-8.079011	0.048353	-0.003620	0.010819	-0.051344
4.380000	2.205393	-6.099575	746.143089	746.171279	-4.179741	6.385134	-11.547539	5.447964	283.348389	-6.037766	345.798279	123.034187	-38.029890	-7.895405	0.073515	0.025652	0.010582	-0.050969
4.390000	2.206110	-5.924308	746.300224	746.326999	-4.227954	6.434064	-11.515615	5.591306	283.507660	-6.037766	345.953125	122.877205	-38.005495	-7.877066	0.079573	0.029757	0.010555	-0.050925
4.400000	2.141347	-5.669303	745.524193	745.548824	-4.260097	6.401444	-11.435805	5.766502	283.826202	-6.037766	345.643463	122.092293	-37.734347	-7.861175	0.068031	0.019428	0.010544	-0.050615
4.410000	2.142064	-5.573637	747.400775	747.424627	-4.308311	6.450374	-11.387919	5.814283	283.985504	-5.877400	346.572449	122.720222	-37.986102	-7.824889	0.087473	0.036957	0.010469	-0.050824
4.420000	2.060991	-5.398301	746.768035	746.790390	-4.340453	6.401444	-11.324072	5.925771	284.463318	-5.717034	347.656281	120.365471	-37.612172	-7.454001	0.078398	0.028477	0.009982	-0.050367
4.430000	2.126231	-5.254853	745.205570	745.227130	-4.340453	6.466684	-11.276186	6.021333	284.463318	-5.877400	346.882111	119.737541	-37.370280	-7.487858	0.085725	0.031901	0.010048	-0.050148
4.440000	2.239207	-5.047628	744.893149	744.913617	-4.260097	6.499304	-11.196377	6.148748	284.781891	-5.717034	347.346619	118.481674	-37.125546	-7.295314	0.070465	0.008298	0.009794	-0.049840
4.450000	2.142303	-4.952031	744.424331	744.443884	-4.324381	6.466684	-11.180414	6.228383	284.781891	-5.717034	347.191772	118.167702	-37.036084	-7.280579	0.069157	0.011007	0.009780	-0.049751
4.460000	1.996706	-4.872396	744.114016	744.132647	-4.404737	6.401444	-11.180414	6.308018	285.100433	-5.556669	347.501434	117.068817	-36.786041	-7.137087	0.062624	0.010648	0.009591	-0.049436
4.470000	1.964087	-4.888499	744.265632	744.284277	-4.404737	6.368824	-11.260224	6.371725	285.259705	-5.717034	347.811127	116.911835	-36.816078	-7.120910	0.038878	-0.011506	0.009568	-0.049466
4.480000	1.802897	-4.888779	742.862605	742.880879	-4.533307	6.336205	-11.387919	6.499141	285.259705	-5.556669	347.346619	115.812950	-36.471313	-7.032795	0.027455	-0.014776	0.009467	-0.049096
